21:24:23;called
21:43:02;called
21:43:47;called
22:23:22;buzzed
23:03:11;called
23:11:02;buzzed
00:11:06;called
00:30:49;buzzed
01:18:26;buzzed
13:07:39;called
13:21:03;buzzed
13:21:25;called
14:42:37;buzzed
15:42:09;buzzed
16:20:34;called
16:50:05;called
16:55:21;buzzed
16:57:08;called
17:18:54;buzzed
17:29:27;called
18:11:42;called
18:36:07;buzzed
18:38:16;called
18:38:27;buzzed
18:46:59;buzzed
18:47:07;called
18:52:27;called
18:59:29;buzzed
18:59:35;called
19:12:25;called
19:24:45;called
19:55:47;called
20:13:16;called
20:16:37;called
20:17:29;called
20:32:22;buzzed
20:34:22;called
22:13:00;called
22:31:00;called
22:51:52;buzzed
22:53:48;called
22:57:47;buzzed
22:58:42;called
23:01:00;called
23:03:21;called
23:20:32;called
23:23:17;called
23:26:12;buzzed
00:45:54;buzzed
01:16:09;buzzed
01:16:46;called
01:27:16;buzzed
01:27:38;called
16:12:24;called
16:23:04;buzzed
16:36:06;called
16:44:54;called
16:54:01;called
16:55:18;called
16:59:04;called
17:52:03;buzzed
18:06:36;called
19:27:22;called
19:29:29;called
19:32:05;called
19:41:52;called
19:53:17;called
20:14:24;called
20:21:31;called
20:35:29;called
21:02:55;called
21:08:05;called
21:17:20;called
21:18:18;called
22:03:40;called
22:39:07;buzzed
22:44:35;called
22:44:44;buzzed
23:30:59;buzzed
01:34:55;called
02:37:06;called
04:01:44;called
14:20:53;called
14:22:13;buzzed
15:26:05;called
16:02:46;called
16:14:07;buzzed
17:52:42;buzzed
19:00:03;buzzed
19:43:35;called
20:46:59;buzzed
21:14:27;buzzed
21:27:43;called
22:08:06;called
22:08:56;called
22:13:08;buzzed
22:39:58;buzzed
22:40:09;called
22:53:25;called
23:45:21;called
00:03:50;buzzed
12:40:05;buzzed
14:19:57;called
14:22:19;buzzed
15:41:19;buzzed
16:10:09;called
17:55:18;called
17:57:28;called
18:14:28;buzzed
18:16:33;called
18:41:04;called
18:41:54;called
18:44:22;called
18:52:13;buzzed
20:21:08;buzzed
21:19:25;buzzed
22:06:51;called
22:38:37;buzzed
22:38:44;called
22:54:43;buzzed
23:06:28;buzzed
23:15:40;called
13:42:07;buzzed
14:15:29;called
14:50:29;buzzed
15:06:45;buzzed
15:10:06;called
15:10:50;called
15:13:11;called
15:23:02;buzzed
17:30:51;buzzed
18:08:10;called
18:23:15;called
18:24:30;called